subject_id,condition,resp_audio_plv,hrv_audio_plv,eeg_alpha_corr
2,VIZ,0.13119101024584673,0.2080533934796385,0.009605863057940547
2,AUD,0.23267093044552412,0.1947260193431286,0.01480332938199886
2,MULTI,0.2937738465323827,0.029307019206743033,0.015560740283909292
3,VIZ,0.10356123395331296,0.09311113223183663,0.007346191666517694
3,AUD,0.5087245550875915,0.153698600851298,0.008163397408002423
3,MULTI,0.04393257233518327,0.18016994117371213,0.012576789587438766
4,VIZ,0.15265091172800835,0.10400041671985889,0.019231800298502612
4,AUD,0.12835836576648163,0.28282519540097983,0.013685751741823482
4,MULTI,0.13853619710494328,0.19557608392139578,0.014773633354012612
5,VIZ,0.19785827543422108,0.0670878366477229,0.0060367689311085345
5,AUD,0.29130405656761943,0.11907795752634887,0.01458286389589509
5,MULTI,0.14080034737782027,0.1272707553653247,0.008828100455436628
6,VIZ,0.11313880718872382,0.12683709372944027,0.014470036210754492
6,AUD,0.38243813931807974,0.12949809760766276,0.016467329397794217
6,MULTI,0.13498971170730678,0.04946315777454218,0.013103378534788705
