hrv_feature,metric,friedman_stat,friedman_p,comparison,p_value,p_corrected,significant
HRV_RMSSD,xcorr,5.200000000000003,0.0742735782143338,AUD vs MULTI,0.125,0.1875,False
HRV_RMSSD,xcorr,5.200000000000003,0.0742735782143338,AUD vs VIZ,0.0625,0.1875,False
HRV_RMSSD,xcorr,5.200000000000003,0.0742735782143338,MULTI vs VIZ,0.625,0.625,False
HRV_RMSSD,coherence,2.8000000000000043,0.24659696394160596,AUD vs MULTI,0.1875,0.46875,False
HRV_RMSSD,coherence,2.8000000000000043,0.24659696394160596,AUD vs VIZ,1.0,1.0,False
HRV_RMSSD,coherence,2.8000000000000043,0.24659696394160596,MULTI vs VIZ,0.3125,0.46875,False
HRV_RMSSD,plv,1.6000000000000014,0.44932896411722134,AUD vs MULTI,0.3125,0.46875,False
HRV_RMSSD,plv,1.6000000000000014,0.44932896411722134,AUD vs VIZ,0.1875,0.46875,False
HRV_RMSSD,plv,1.6000000000000014,0.44932896411722134,MULTI vs VIZ,1.0,1.0,False
HRV_RMSSD,wpli,1.2000000000000028,0.5488116360940257,AUD vs MULTI,0.8125,0.8125,False
HRV_RMSSD,wpli,1.2000000000000028,0.5488116360940257,AUD vs VIZ,0.8125,0.8125,False
HRV_RMSSD,wpli,1.2000000000000028,0.5488116360940257,MULTI vs VIZ,0.625,0.8125,False
HRV_MeanNN,xcorr,1.6000000000000014,0.44932896411722134,AUD vs MULTI,0.1875,0.5625,False
HRV_MeanNN,xcorr,1.6000000000000014,0.44932896411722134,AUD vs VIZ,0.625,0.625,False
HRV_MeanNN,xcorr,1.6000000000000014,0.44932896411722134,MULTI vs VIZ,0.4375,0.625,False
HRV_MeanNN,coherence,2.8000000000000043,0.24659696394160596,AUD vs MULTI,0.4375,0.4375,False
HRV_MeanNN,coherence,2.8000000000000043,0.24659696394160596,AUD vs VIZ,0.3125,0.4375,False
HRV_MeanNN,coherence,2.8000000000000043,0.24659696394160596,MULTI vs VIZ,0.4375,0.4375,False
HRV_MeanNN,plv,3.6000000000000014,0.1652988882215864,AUD vs MULTI,0.4375,0.4375,False
HRV_MeanNN,plv,3.6000000000000014,0.1652988882215864,AUD vs VIZ,0.1875,0.4375,False
HRV_MeanNN,plv,3.6000000000000014,0.1652988882215864,MULTI vs VIZ,0.4375,0.4375,False
HRV_MeanNN,wpli,7.6000000000000085,0.0223707718561655,AUD vs MULTI,0.0625,0.09375,False
HRV_MeanNN,wpli,7.6000000000000085,0.0223707718561655,AUD vs VIZ,0.0625,0.09375,False
HRV_MeanNN,wpli,7.6000000000000085,0.0223707718561655,MULTI vs VIZ,0.3125,0.3125,False
HRV_SDNN,xcorr,2.8000000000000043,0.24659696394160596,AUD vs MULTI,0.1875,0.3125,False
HRV_SDNN,xcorr,2.8000000000000043,0.24659696394160596,AUD vs VIZ,0.3125,0.3125,False
HRV_SDNN,xcorr,2.8000000000000043,0.24659696394160596,MULTI vs VIZ,0.3125,0.3125,False
HRV_SDNN,coherence,6.400000000000006,0.04076220397836611,AUD vs MULTI,0.125,0.1875,False
HRV_SDNN,coherence,6.400000000000006,0.04076220397836611,AUD vs VIZ,0.0625,0.1875,False
HRV_SDNN,coherence,6.400000000000006,0.04076220397836611,MULTI vs VIZ,0.3125,0.3125,False
HRV_SDNN,plv,2.8000000000000043,0.24659696394160596,AUD vs MULTI,0.8125,0.8125,False
HRV_SDNN,plv,2.8000000000000043,0.24659696394160596,AUD vs VIZ,0.625,0.8125,False
HRV_SDNN,plv,2.8000000000000043,0.24659696394160596,MULTI vs VIZ,0.4375,0.8125,False
HRV_SDNN,wpli,5.200000000000003,0.0742735782143338,AUD vs MULTI,0.625,0.625,False
HRV_SDNN,wpli,5.200000000000003,0.0742735782143338,AUD vs VIZ,0.0625,0.1875,False
HRV_SDNN,wpli,5.200000000000003,0.0742735782143338,MULTI vs VIZ,0.1875,0.28125,False
